bioregion,ibra_area_ha,area_protected_ha,percent_protected
Great Sandy Desert,39486135,19709622,49.92
Great Victoria Desert,42246564,18151680,42.97
Tanami,25997277,11608908,44.65
Nullarbor,19722774,10834532,54.93
Gibson Desert,15628918,9127292,58.40
Simpson Strzelecki Dunefields,27984283,8640902,30.88
Central Ranges,10164044,8265173,81.32
Little Sandy Desert,11089857,5250145,47.34
Northern Kimberley,8420100,5199178,61.75
Coolgardie,12912209,4857338,37.62
Cape York Peninsula,12256457,4752326,38.77
Murray Darling Depression,19958367,3473088,17.40
Channel Country,30409437,3357359,11.04
Gascoyne,18075257,2908908,16.09
Gulf Fall and Uplands,11847909,2890528,24.40
